group,coverage,enrolgap,enrdays,enrdaysaft,type1,type2,type3,type4,chartres,enrdaysfloor,geog
lybext,MD,45,183,NA,N,Y,N,N,N,NA,
lybext_incall,MD,45,183,NA,N,Y,N,N,N,NA,
lybext_vte2,MD,45,183,NA,N,Y,N,N,N,NA,
lybext_90,MD,45,183,NA,N,Y,N,N,N,NA,
lybext_183,MD,45,183,NA,N,Y,N,N,N,NA,
lyb_only,MD,45,183,NA,N,Y,N,N,N,NA,
ext_only,MD,45,183,NA,N,Y,N,N,N,NA,
cyc,MD,45,183,NA,N,Y,N,N,N,NA,
cyc_incall,MD,45,183,NA,N,Y,N,N,N,NA,
cyc_vte2,MD,45,183,NA,N,Y,N,N,N,NA,
cyc_90,MD,45,183,NA,N,Y,N,N,N,NA,
cyc_183,MD,45,183,NA,N,Y,N,N,N,NA,
cyc_lybonly,MD,45,183,NA,N,Y,N,N,N,NA,
cyc_extonly,MD,45,183,NA,N,Y,N,N,N,NA,
