group,subgroup,codecat,codetype,code,caresettingprincipal,t1_index,t2_index,t2_fup,t3_index,t3_fup,t4_index,t4_fup,rawlabdatetype,rawlabresult,codesupply
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,000081117,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,000933134,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,000936148,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,003787281,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,003787285,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,005559123,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,007815584,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,167140366,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,512850058,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,512850087,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,512850092,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,512850431,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,525440228,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,525440268,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,525440295,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,525440966,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,545696620,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,548682316,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,548686044,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,548686275,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,548686276,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,681800843,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,681800846,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,681800848,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,684620637,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,684620646,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,684620672,,NOT,DEF,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORGESTRELETHINYLESTRADIOL,RX,09,000082514,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,000082536,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,LEVONORGESTRELETHINYLESTRADIOL,RX,09,000082576,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,ETHYNODIOLDIACETATEETHINYLESTR,RX,09,000250081,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,ETHYNODIOLDIACETATEETHINYLESTR,RX,09,000250161,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,DESOGESTRELETHINYLESTRADIOL,RX,09,000520261,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,ETONOGESTRELETHINYLESTRADIOL,RX,09,000520273,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,DESOGESTRELETHINYLESTRADIOL,RX,09,000520283,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORGESTIMATEETHINYLESTRADIOL,RX,09,000621251,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORETHINDRONEMESTRANOL,RX,09,000621332,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORETHINDRONEETHINYLESTRADIOL,RX,09,000621714,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORETHINDRONEETHINYLESTRADIOL,RX,09,000621761,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORETHINDRONEETHINYLESTRADIOL,RX,09,000621771,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORETHINDRONEETHINYLESTRADIOL,RX,09,000621781,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,DESOGESTRELETHINYLESTRADIOL,RX,09,000621796,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORGESTIMATEETHINYLESTRADIOL,RX,09,000621901,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORGESTIMATEETHINYLESTRADIOL,RX,09,000621903,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORGESTIMATEETHINYLESTRADIOL,RX,09,000621907,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORGESTIMATEETHINYLESTRADIOL,RX,09,000621910,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORELGESTROMINETHINYLESTRADIOL,RX,09,000621920,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORETHINDRONEETHINYLESTRADIOLF,RX,09,000932090,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORGESTIMATEETHINYLESTRADIOL,RX,09,000932140,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORGESTIMATEETHINYLESTRADIOL,RX,09,000935315,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
lybext,NORGESTIMATEETHINYLESTRADIOL,RX,09,000935316,,NOT,FUT,NOT,NOT,NOT,NOT,NOT,,,NA
