group,subgroup,caresettingprincipal,codecat,codetype,code,t1_index,t2_index,t2_fup,t3_index,t3_fup,t4_index,t4_fup,rawlabdatetype,rawlabresult,codesupply
pregnant,delivery,'IP*',PX,C4,59409,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',PX,C4,59410,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',PX,C4,59510,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',PX,C4,59514,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',PX,C4,59515,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',PX,C4,59610,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',PX,C4,59612,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',PX,C4,59614,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',PX,C4,59618,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',PX,C4,59620,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',PX,C4,59622,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,64101,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,64111,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,64121,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,64131,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,64181,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,64191,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,64201,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
