group,subgroup,codecat,codetype,code,caresettingprincipal,condinclusion,condfrom,condto,subcondinclusion,condlevel,subcondlevel,rawlabdatetype,rawlabresult
lybext,Injectionorinfusionofcancerche,PX,09,9925,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmoflip,DX,09,140,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofupperlipver,DX,09,1400,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmoflowerlipver,DX,09,1401,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofupperlipinn,DX,09,1403,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmoflowerlipinn,DX,09,1404,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmoflipinnerasp,DX,09,1405,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofcommissureo,DX,09,1406,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofothersiteso,DX,09,1408,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmoflipvermilio,DX,09,1409,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofbaseoftongu,DX,09,1410,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmoftongue,DX,09,141,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofdorsalsurfa,DX,09,1411,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmoftipandlater,DX,09,1412,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofventralsurf,DX,09,1413,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofanteriortwo,DX,09,1414,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofjunctionalz,DX,09,1415,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmoflingualtons,DX,09,1416,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofothersiteso,DX,09,1418,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmoftongueunspe,DX,09,1419,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofmajorsaliva,DX,09,142,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofparotidglan,DX,09,1420,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofsubmandibul,DX,09,1421,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofsublingualg,DX,09,1422,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofothermajors,DX,09,1428,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofsalivarygla,DX,09,1429,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofgum,DX,09,143,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmofuppergum,DX,09,1430,,0,-183,-1,1,exclusions,exclusions1,,
lybext,Malignantneoplasmoflowergum,DX,09,1431,,0,-183,-1,1,exclusions,exclusions1,,
