concept_name,vocabulary_id
Fusarium extract,RxNorm
Gambels oak pollen extract,RxNorm
Penicillium italicum extract,RxNorm
Penicillium roquefortii allergenic extract,RxNorm
pitavastatin,RxNorm
peach allergenic extract,RxNorm
peanut allergenic extract,RxNorm
pecan allergenic extract,RxNorm
Fremont cottonwood pollen extract,RxNorm
fingolimod,RxNorm
HEPTANOIC ACID,RxNorm
orris root allergenic extract,RxNorm
rough cocklebur pollen extract,RxNorm
European rabbit hair extract,RxNorm
European rabbit skin extract,RxNorm
yellow dock pollen extract,RxNorm
Litchi fruit extract,RxNorm
Khaya senegalensis bark extract,RxNorm
Kigelia africana fruit extract,RxNorm
Klebsiella pneumoniae,RxNorm
Inonotus obliquus fruiting body extract,RxNorm
Krameria lappacea root extract,RxNorm
LACHESIS MUTA VENOM,RxNorm
LACTOPEROXIDASE,RxNorm
LANOLIN OIL,RxNorm
LAURAMIDOPROPYL BETAINE,RxNorm
LEVANT COTTONSEED OIL,RxNorm
LIGHT GREEN SF YELLOWISH,RxNorm
LIPPIA CITRIODORA FLOWERING TOP OIL,RxNorm
LITSEA OIL,RxNorm
LOVAGE OIL,RxNorm
Pimpinella saxifraga root extract,RxNorm
Pyracantha fortuneana fruit extract,RxNorm
Pinellia ternata root extract,RxNorm
Pinus densiflora bark extract,RxNorm
Pinus massoniana resin,RxNorm
Pinus strobus bark extract,RxNorm
Pinus sylvestris flowering top extract,RxNorm
PINUS SYLVESTRIS LEAFY TWIG,RxNorm
Pinus tabuliformis bark extract,RxNorm
Piper cubeba fruit extract,RxNorm
Piper kadsura stem extract,RxNorm
Piper methysticum root extract,RxNorm
"1,1-difluoroethane",RxNorm
"1,10-decanediol",RxNorm
Interleukin-3,RxNorm
Interleukin-9,RxNorm
Inula helenium root extract,RxNorm
Lactobacillus helveticus,RxNorm
Lactuca virosa extract,RxNorm
Lactuca virosa leaf extract,RxNorm
Laminaria digitata preparation,RxNorm
Lamium album flower extract,RxNorm
JUNIPERUS DEPPEANA WOOD OIL,RxNorm
JUNIPERUS VIRGINIANA OIL,RxNorm
Jacaranda caroba flower extract,RxNorm
Guazuma ulmifolia leaf extract,RxNorm
Thallium,RxNorm
thallium sulfate,RxNorm
sesame seed extract,RxNorm
white mulberry extract,RxNorm
white pine oil,RxNorm
silver birch pollen allergenic extract,RxNorm
silver citrate,RxNorm
wine grape extract,RxNorm
xanthan gum,RxNorm
xanthine,RxNorm
shark preparation,RxNorm
sodium hypophosphite,RxNorm
tomato juice,RxNorm
sorbitan olivate,RxNorm
strontium bromide,RxNorm
succinate,RxNorm
sulisobenzone,RxNorm
sunflower seed extract,RxNorm
triethylamine,RxNorm
safflower extract,RxNorm
salinomycin,RxNorm
"tallow acid, beef",RxNorm
samarium oxide,RxNorm
sandalwood oil,RxNorm
tangerine peel extract,RxNorm
tulathromycin,RxNorm
teriflunomide,RxNorm
Jasminum officinale flower extract,RxNorm
Jateorhiza calumba root extract,RxNorm
Jatropha curcas seed extract,RxNorm
Lanthanum,RxNorm
Lapsana communis flowering top extract,RxNorm
Juglans cinerea branch bark-root bark extract,RxNorm
Juglans nigra bark extract,RxNorm
Juglans regia flowering top extract,RxNorm
Juniperus communis fruit extract,RxNorm
JUNIPERUS SABINA LEAF,RxNorm
Juniperus sabina leafy twig extract,RxNorm
