n,concept_name,vocabulary_id
2321,Ascorbic Acid,RxNorm
1813,Thiamine,RxNorm
1562,pyridoxine,RxNorm
1521,Vitamin B 12,RxNorm
1500,Folic Acid,RxNorm
1464,Calcium,RxNorm
1423,Niacinamide,RxNorm
1308,Vitamin A,RxNorm
1299,Riboflavin,RxNorm
1297,Vitamin E,RxNorm
1262,Menthol,RxNorm
1262,Acetaminophen,RxNorm
1257,Phenylephrine,RxNorm
1126,Zinc Oxide,RxNorm
1081,Magnesium,RxNorm
1028,Potassium,RxNorm
963,Camphor,RxNorm
909,Caffeine,RxNorm
904,Salicylic Acid,RxNorm
884,Sodium,RxNorm
859,Biotin,RxNorm
858,Calcium Carbonate,RxNorm
842,Sodium Chloride,RxNorm
822,CRATAEGUS LAEVIGATA FRUIT,RxNorm
815,Guaifenesin,RxNorm
812,Chlorpheniramine,RxNorm
796,Lidocaine,RxNorm
792,Pseudoephedrine,RxNorm
766,Potassium Chloride,RxNorm
761,pantothenate,RxNorm
751,Dextromethorphan,RxNorm
733,Codeine,RxNorm
688,Valeriana officinalis whole extract,RxNorm
681,Sulfur,RxNorm
673,Cholecalciferol,RxNorm
669,Benzocaine,RxNorm
659,Mentha piperita extract,RxNorm
641,Matricaria chamomilla flowering top oil,RxNorm
640,Magnesium Oxide,RxNorm
629,Iodine,RxNorm
622,Hydrocortisone,RxNorm
617,Niacin,RxNorm
600,Aspirin,RxNorm
595,Ferrous fumarate,RxNorm
585,Beta Carotene,RxNorm
585,Phosphorus,RxNorm
584,Selenium,RxNorm
578,Vitamin B6,RxNorm
574,Silicon Dioxide,RxNorm
565,Choline,RxNorm
555,Thymus vulgaris whole extract,RxNorm
536,Arnica extract,RxNorm
536,Melissa officinalis extract,RxNorm
522,Ephedrine,RxNorm
514,Glucose,RxNorm
513,Phenobarbital,RxNorm
504,Inositol,RxNorm
502,Potassium Iodide,RxNorm
500,Pantothenic Acid,RxNorm
499,Diphenhydramine,RxNorm
488,Phenylpropanolamine,RxNorm
486,Viscum album preparation,RxNorm
484,Glycerin,RxNorm
477,Foeniculum vulgare whole extract,RxNorm
460,Methionine,RxNorm
458,Manganese,RxNorm
455,ECHINACEA ANGUSTIFOLIA Extract,RxNorm
453,Vitamin D,RxNorm
450,Atropa belladonna fruiting top extract,RxNorm
448,Sodium Bicarbonate,RxNorm
