nct_id,overall_status,plan_to_share_ipd,plan_to_share_ipd_description,study_type,phase,study_first_submitted_date,official_title,enrollment,enrollment_type,primary_completion_month_year,primary_completion_date_type
NCT00443729,Terminated,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",Interventional,Phase 3,2007-03-02,"A Multicenter, Double-Blind, Randomized, Active-Controlled Study to Evaluate the Safety and Antiretroviral Activity of MK0518 Versus KALETRA in HIV-Infected Patients Switched From a Stable KALETRA-Based Regimen - Study B",355,Actual,October 2008,Actual
NCT00443703,Terminated,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",Interventional,Phase 3,2007-03-02,"A Multicenter, Double-Blind, Randomized, Active-Controlled Study to Evaluate the Safety and Antiretroviral Activity of MK0518 Versus KALETRA in HIV-Infected Patients Switched From a Stable KALETRA-Based Regimen - Study A",352,Actual,April 2009,Actual
NCT00369941,Completed,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",Interventional,Phase 3,2006-08-29,"A Multicenter, Double-Blind, Randomized, Active-Controlled Study to Evaluate the Safety and Antiretroviral Activity of MK-0518 Versus Efavirenz in Treatment Naive HIV-Infected Patients, Each in Combination With TRUVADAâ„¢",566,Actual,May 2009,Actual
NCT00350272,Completed,Yes,Individual Participant Data is available to only this study's Principal Investigator upon request.,Interventional,Phase 2,2006-07-06,"A Randomized, Blinded, 12-week Comparison of Elvucitabine/Efavirenz/Tenofovir Versus Lamivudine/Efavirenz/Tenofovir in HIV-1 Infected, Treatment Naive Subjects. There is a 36 Week, Open Label, Extension Phase for Eligible Subjects.",76,Actual,August 2007,Actual
NCT00293254,Completed,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",Interventional,Phase 3,2006-02-15,"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Study to Evaluate the Safety and Antiretroviral Activity of MK-0518 in Combination With an Optimized Background Therapy (OBT), Versus Optimized Background Therapy Alone, in HIV-Infected Patients With Documented Resistance to at Least 1 Drug in Each of the 3 Classes of Licensed Oral Antiretroviral Therapies",351,Actual,October 2007,Actual
NCT00000143,Completed,Yes,NA,Interventional,Phase 3,1999-09-23,Studies of Ocular Complications of AIDS (SOCA)--Ganciclovir-Cidofovir CMV Retinitis Trial (GCCRT),61,Actual,June 2000,Actual
NCT03446573,Recruiting,Yes,IPD for this study will be made available via the Clinical Study Data Request Site,Interventional,Phase 3,2018-01-05,"A Phase III, Randomized, Multicenter, Parallel-group, Non-inferiority Study Evaluating the Efficacy, Safety, and Tolerability of Switching to Dolutegravir Plus Lamivudine in HIV-1 Infected Adults Who Are Virologically Suppressed",550,Anticipated,"August 2, 2019",Anticipated
NCT03441984,Completed,Yes,IPD for this study will be made available via the Clinical Study Data Request site.,Interventional,Phase 1,2018-02-15,"A 2-Part, Phase I, Single-Dose, 3-Period Crossover Relative Bioavailability Study of a Pediatric TRIUMEQ Dispersible Tablet and Pediatric Dolutegravir and Lamivudine (DTG/3TC) Fixed Dose Combination Dispersible Tablet Formulations as Compared With Adult Tablets in Healthy Volunteers",95,Actual,"April 28, 2018",Actual
NCT03555396,Not yet recruiting,Yes,Unidentified data can be shared with other researchers in accordance with IRB regulations upon completion and analysis of the study.,Interventional,N/A,2018-06-01,A Couple-based Antiretroviral Therapy Adherence Intervention for People Who Inject Drugs in Kazakhstan,132,Anticipated,June 2023,Anticipated
NCT03529409,Not yet recruiting,Yes,"After all primary analyses are complete, de-identified data will be available per request of outside individual.",Interventional,N/A,2018-05-07,Hybrid Effectiveness-Implementation Trial for ART Adherence and Substance Use in HIV Care in South Africa,60,Anticipated,January 2021,Anticipated
NCT03516318,Not yet recruiting,Yes,"De-identified, quantitative data on study participants will be uploaded to the USAID Development Data Library.",Interventional,N/A,2018-04-24,Using Social Media to Improve ART Retention and Treatment (SMART) Outcomes Among Youth Living With HIV (YLHIV) in Nigeria - The Youth SMART Study,500,Anticipated,"September 30, 2019",Anticipated
NCT03515772,Recruiting,Yes,The investigators will share anonymized IPD with colleagues interested upon motivated request,Observational,NA,2018-04-23,Drug-drug Interactions Between Antiretroviral Drugs and Cardiovascular Drugs in Elderly Patients From the Swiss HIV Cohort Study,60,Anticipated,"July 31, 2019",Anticipated
NCT03508310,Completed,Yes,"When appropriate, data sets will be made available to interested researchers following discussion with study team.",Interventional,N/A,2018-04-16,"A Waiting Room-Delivered Video to Enhance Antiretroviral Therapy Readiness, Adherence, and Retention in Care for Minority Persons Living With HIV Infection",4003,Actual,"March 30, 2017",Actual
