downcase_mesh_term,n,hiv_or_aids
hiv infections,4379,1
hiv seropositivity,104,1
aids-related complex,34,1
aids dementia complex,28,1
hiv-associated lipodystrophy syndrome,21,1
"lymphoma, aids-related",20,1
aids-related opportunistic infections,16,1
hiv wasting syndrome,13,1
aids-associated nephropathy,4,1
hiv enteropathy,4,1
diabetes mellitus,8347,
breast neoplasms,6351,
syndrome,5878,
"diabetes mellitus, type 2",5269,
disease,4416,
lung neoplasms,4402,
carcinoma,4282,
leukemia,4268,
lymphoma,4022,
depression,4020,
coronary artery disease,3947,
hypertension,3723,
"carcinoma, non-small-cell lung",3630,
infection,3584,
myocardial ischemia,3499,
prostatic neoplasms,3466,
coronary disease,3387,
neoplasms,3353,
heart failure,3281,
depressive disorder,3190,
colorectal neoplasms,3182,
lung diseases,3105,
osteoarthritis,2826,
cardiovascular diseases,2754,
hepatitis,2721,
stroke,2620,
"pulmonary disease, chronic obstructive",2559,
communicable diseases,2517,
kidney diseases,2494,
heart diseases,2477,
wounds and injuries,2449,
arthritis,2348,
schizophrenia,2319,
asthma,2263,
multiple myeloma,2148,
"leukemia, myeloid",2127,
"arthritis, rheumatoid",2102,
hepatitis a,2098,
sclerosis,2057,
"diabetes mellitus, type 1",2008,
"leukemia, lymphoid",1982,
fibrosis,1968,
parkinson disease,1960,
"lung diseases, obstructive",1958,
neoplasm metastasis,1923,
hepatitis c,1921,
"neoplasms, plasma cell",1902,
"leukemia, myeloid, acute",1873,
pancreatic neoplasms,1868,
adenocarcinoma,1831,
infarction,1813,
melanoma,1810,
head and neck neoplasms,1793,
atrial fibrillation,1781,
alzheimer disease,1732,
myocardial infarction,1688,
"lymphoma, non-hodgkin",1683,
"pain, postoperative",1675,
ischemia,1670,
renal insufficiency,1670,
hemorrhage,1641,
inflammation,1639,
multiple sclerosis,1639,
"depressive disorder, major",1632,
obesity,1547,
myelodysplastic syndromes,1543,
preleukemia,1540,
"renal insufficiency, chronic",1532,
ovarian neoplasms,1493,
"influenza, human",1454,
stomach neoplasms,1413,
"carcinoma, hepatocellular",1382,
ulcer,1382,
"osteoarthritis, knee",1362,
infertility,1339,
overweight,1338,
"kidney failure, chronic",1324,
back pain,1316,
cognitive dysfunction,1284,
"hepatitis, chronic",1275,
"carcinoma, squamous cell",1263,
acquired immunodeficiency syndrome,1239,
chronic disease,1228,
sleep apnea syndromes,1227,
precursor cell lymphoblastic leukemia-lymphoma,1225,
"fractures, bone",1180,
"carcinoma, renal cell",1179,
insulin resistance,1160,
brain injuries,1150,
low back pain,1139,
psoriasis,1134,
pneumonia,1133,
psychotic disorders,1128,
"leukemia, lymphocytic, chronic, b-cell",1122,
"sleep apnea, obstructive",1117,
esophageal neoplasms,1115,
premature birth,1100,
metabolic syndrome x,1091,
anxiety disorders,1086,
hepatitis b,1085,
osteoporosis,1085,
bipolar disorder,1071,
anemia,1062,
glaucoma,1049,
glioblastoma,1042,
liver diseases,1035,
mental disorders,1032,
immunologic deficiency syndromes,1018,
emergencies,1005,
atherosclerosis,1002,
"hepatitis c, chronic",1001,
"stress disorders, post-traumatic",979,
"lymphoma, b-cell",977,
cystic fibrosis,970,
sarcoma,966,
substance-related disorders,964,
apnea,959,
dementia,936,
crohn disease,931,
uterine cervical neoplasms,925,
weight loss,923,
hypersensitivity,908,
liver neoplasms,908,
critical illness,900,
peripheral arterial disease,898,
chronic pain,897,
thrombosis,870,
attention deficit disorder with hyperactivity,869,
"brain injuries, traumatic",869,
hypercholesterolemia,863,
malaria,861,
macular degeneration,856,
rhinitis,848,
epilepsy,839,
urinary bladder neoplasms,831,
spinal cord injuries,830,
brain neoplasms,826,
tuberculosis,824,
fatigue,817,
liver cirrhosis,815,
acute coronary syndrome,811,
recurrence,803,
hodgkin disease,791,
"respiratory distress syndrome, adult",791,
glioma,782,
dermatitis,772,
sepsis,765,
"stress disorders, traumatic",763,
"leukemia, myelogenous, chronic, bcr-abl positive",760,
rectal neoplasms,760,
aneurysm,755,
cataract,748,
"colitis, ulcerative",745,
"rhinitis, allergic",742,
migraine disorders,728,
respiratory insufficiency,722,
"lymphoma, large b-cell, diffuse",702,
alcoholism,686,
colitis,683,
peripheral vascular diseases,681,
vascular diseases,659,
virus diseases,658,
colonic neoplasms,654,
cardiomyopathies,646,
kidney neoplasms,644,
gastroesophageal reflux,641,
enuresis,635,
malnutrition,635,
tobacco use disorder,635,
body weight,634,
urinary incontinence,633,
neuralgia,632,
"hypertension, pulmonary",630,
fatty liver,624,
eczema,618,
acute kidney injury,615,
vomiting,613,
hyperplasia,612,
"dermatitis, atopic",603,
sleep initiation and maintenance disorders,601,
dyslipidemias,599,
headache,598,
autistic disorder,595,
hyperkinesis,589,
hernia,584,
constipation,582,
macular edema,577,
atrophy,574,
"constriction, pathologic",574,
diarrhea,572,
"anemia, sickle cell",569,
