COMPONENT,SYSTEM,SCALE,n2,codes,methods
(Acer negundo+Betula verrucosa+Fagus grandifolia+Quercus alba+Juglans californica) Ab.IgE,Ser,Ord,2,"15267-8,24134-9",Multidisk|Multidisk
(Acer negundo+Betula verrucosa+Quercus alba+Ulmus americana+Juglans californica) Ab.IgE,Ser,Ord,2,"15262-9,23796-6",Multidisk|Multidisk
(Alnus incana+Betula verrucosa+Corylus avellana+Quercus alba+Salix caprea) Ab.IgE,Ser,Ord,2,"15269-4,24135-6",Multidisk|Multidisk
(Alnus incana+Corylus avellana+Ulmus americana+Salix caprea+Populus deltoides) Ab.IgE,Ser,Ord,2,"15266-0,24133-1",Multidisk|Multidisk
(Artemisia vulgaris+Chenopodium album+Plantago lanceolata+Solidago virgaurea+Urtica dioica) Ab.IgE,Ser,Qn,2,"46709-2,82041-5",Multidisk|Multidisk
(Avena sativa+Fagopyrum esculentum+Sesamum indicum+Triticum aestivum+Zea mays) Ab.IgE,Ser,Ord,2,"15219-9,24131-5",Multidisk|Multidisk
(Dermatophagoides pteronyssinus+Cat dander+Cat epithelium+Horse dander+Dog dander+Rabbit epithelium) Ab.IgE,Ser,Qn,2,"71376-8,82114-0",Multidisk|NA
(Gadus morhua+Mytilus edulis+Pandalus borealis+Salmo salar+Thunnus albacares) Ab.IgE,Ser,Ord,2,"15218-1,23804-8",Multidisk|Multidisk
(Views AP + oblique + odontoid) + (View lateral^W flexion + W extension),Neck>Spine.cervical,Doc,2,"37100-5,44187-3",XR|XR.portable
1-Hydroxymidazolam,Urine,Qn,2,"59589-2,59590-0",NA|Confirm
1-Methylhistidine,Amnio fld,Qn,2,"13406-4,27162-7",NA|NA
1-Methylhistidine,CSF,Qn,2,"13377-7,26584-3",NA|NA
1-Methylhistidine,Ser/Plas,Qn,3,"1652-7,20633-4,27399-5",NA|NA|NA
1-Methylhistidine,Urine,Qn,5,"1653-5,25318-7,25853-3,27044-7,6865-0",NA|NA|NA|NA|NA
1-Methylhistidine/Creatinine,Urine,Qn,5,"13665-5,25854-1,26574-4,28606-2,56666-1",NA|NA|NA|NA|NA
"1,3-Dichlorobenzene",Bld,Qn,2,"18240-2,18433-3",NA|NA
"1,4-Dioxane",Bld,Qn,2,"14033-5,14258-8",GC|NA
10-Hydroxycarbazepine,Ser/Plas,Qn,2,"31019-3,48348-7",NA|NA
11-Dehydro thromboxane beta 2,Urine,Qn,2,"11061-9,33351-8",NA|NA
11-Dehydro thromboxane beta 2/Creatinine,Urine,Qn,2,"49734-7,50686-5",NA|NA
11-Dehydrocorticosterone+tetrahydrocorticosterone+Allo-tetrahydrocorticosterone/Androsterone+etiocholanolone,Urine,Qn,2,"82846-7,82847-5",NA|NA
11-Dehydrocorticosterone+tetrahydrocorticosterone+Allo-tetrahydrocorticosterone/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol,Urine,Qn,2,"82848-3,82849-1",NA|NA
11-Dehydrotetrahydrocorticosterone,Urine,Qn,3,"73838-5,73839-3,73840-1",NA|NA|NA
11-Deoxycorticosterone,Bld.dot,Qn,2,"53347-1,53348-9",NA|NA
11-Deoxycorticosterone,Ser/Plas,Qn,2,"1656-8,25561-2",NA|NA
11-Deoxycorticosterone,Urine,Qn,4,"16110-9,40818-7,42855-7,55808-0",NA|NA|NA|NA
11-Deoxycortisol,Amnio fld,Qn,2,"50071-0,55809-8",NA|NA
11-Deoxycortisol,Bld.dot,Qn,2,"53338-0,53339-8",NA|NA
11-Deoxycortisol,Ser/Plas,Qn,2,"14567-2,1657-6",NA|NA
11-Deoxycortisol,Urine,Qn,5,"13872-7,25315-3,34204-8,34205-5,42572-8",NA|NA|NA|NA|NA
11-Deoxycortisol^1D post dose dexamethasone,Ser/Plas,Qn,2,"57496-2,57497-0",NA|NA
11-Deoxycortisol^1D post dose metyraPONE,Ser/Plas,Qn,2,"57502-7,57503-5",NA|NA
11-Deoxycortisol^1H post 250 ug corticotropin,Ser/Plas,Qn,2,"13601-0,50075-1",NA|NA
11-Deoxycortisol^2D post dose dexamethasone,Ser/Plas,Qn,2,"57498-8,57499-6",NA|NA
11-Deoxycortisol^2D post dose metyraPONE,Ser/Plas,Qn,2,"57504-3,57505-0",NA|NA
11-Deoxycortisol^30M post 250 ug corticotropin,Ser/Plas,Qn,2,"13602-8,50073-6",NA|NA
11-Deoxycortisol^45M post 250 ug corticotropin,Ser/Plas,Qn,2,"50074-4,57507-6",NA|NA
11-Deoxycortisol^baseline,Ser/Plas,Qn,2,"40810-4,55467-5",NA|NA
11-Deoxycortisol^pre 250 ug corticotropin,Ser/Plas,Qn,2,"50072-8,57506-8",NA|NA
11-Deoxycortisol^pre dose dexamethasone,Ser/Plas,Qn,2,"57494-7,57495-4",NA|NA
11-Deoxycortisol^pre dose metyraPONE,Ser/Plas,Qn,2,"57500-1,57501-9",NA|NA
11-Deoxytetrahydrocorticosterone,Urine,Qn,3,"82858-2,82859-0,82860-8",NA|NA|NA
11-Deoxytetrahydrocortisol/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol,Urine,Qn,2,"82861-6,82862-4",NA|NA
11-Hydroxyandrostenedione,Ser/Plas,Qn,2,"1658-4,47086-4",NA|NA
11-Hydroxyandrosterone,Urine,Qn,5,"15003-7,1659-2,34207-1,34208-9,6701-7",NA|NA|NA|NA|NA
11-Hydroxyandrosterone/Creatinine,Urine,Qn,2,"34209-7,40812-0",NA|NA
