link_to_code,created_on,shortname,long_common_name,component,prop,time,system,scale,method,loinc
https://loinc.org/94661-6,2020-04-04,SARS-CoV-2 Ab SerPl-Imp,SARS coronavirus 2 Ab [Interpretation] in Serum or Plasma,SARS coronavirus 2 Ab,Imp,Pt,Ser/Plas,Nom,,94661-6
https://loinc.org/94660-8,2020-04-04,SARS-CoV-2 RNA SerPl Ql NAA+probe,SARS coronavirus 2 RNA [Presence] in Serum or Plasma by NAA with probe detection,SARS coronavirus 2 RNA,PrThr,Pt,Ser/Plas,Ord,Probe.amp.tar,94660-8
https://loinc.org/94659-0,2020-04-03,Case ID,Case identifier,Case identifier,ID,Pt,^Patient,Nom,,94659-0
https://loinc.org/94657-4,2020-04-03,Case ID Contact,Contact case identifier,Case identifier,ID,Pt,^Contact,Nom,,94657-4
https://loinc.org/94658-2,2020-04-03,,City of known exposure,City of known exposure,Loc,Pt,^Patient,Nom,,94658-2
https://loinc.org/94653-3,2020-04-03,City of trav,City of travel [Location],City of travel,Loc,Pt,^Patient,Nom,,94653-3
https://loinc.org/94650-9,2020-04-03,,Contact identifier Contact,Contact identifier,ID,Pt,^Contact,Nom,,94650-9
https://loinc.org/94651-7,2020-04-03,Country of trav,Country of travel [Location],Country of travel,Loc,Pt,^Patient,Nom,,94651-7
https://loinc.org/94648-3,2020-04-03,Date contact confirmed as case,Date contact confirmed as a case,Date of case confirmation,Date,Pt,^Contact,Qn,,94648-3
https://loinc.org/94649-1,2020-04-03,Health dept ID,Health department identifier,Health department,ID,Pt,Organization,Nom,,94649-1
https://loinc.org/94652-5,2020-04-03,,Known exposure date,Known exposure date,Date,Pt,^Patient,Qn,,94652-5
https://loinc.org/94654-1,2020-04-03,Exposure pnl,Known exposure panel,Known exposure panel,-,Pt,^Patient,-,,94654-1
https://loinc.org/94656-6,2020-04-03,,State of known exposure,State of known exposure,Loc,Pt,^Patient,Nom,,94656-6
https://loinc.org/94639-2,2020-04-02,SARS-CoV-2 ORF1ab XXX Ql NAA+probe,SARS coronavirus 2 ORF1ab region [Presence] in Unspecified specimen by NAA with probe detection,SARS coronavirus 2 ORF1ab region,PrThr,Pt,XXX,Ord,Probe.amp.tar,94639-2
https://loinc.org/94644-2,2020-04-02,SARS-CoV-2 ORF1ab Ct Resp Qn NAA+probe,SARS coronavirus 2 ORF1ab region [Cycle Threshold #] in Respiratory specimen by NAA with probe detection,SARS coronavirus 2 ORF1ab region,ThreshNum,Pt,Respiratory,Qn,Probe.amp.tar,94644-2
