ConceptID	Active	FSN	USPreferredTerm
109006	1	Anxiety disorder of childhood OR adolescence (disorder)	Anxiety disorder of childhood OR adolescence
111002	1	Parathyroid structure (body structure)	Parathyroid structure
125001	1	Ferrous (59-Fe) sulfate (substance)	Ferrous (59-Fe) sulfate
140004	1	Chronic pharyngitis (disorder)	Chronic pharyngitis
187006	1	Cyanocobalamin (57-Co) (substance)	Cyanocobalamin (57-Co)
219006	1	Current drinker of alcohol (finding)	Current drinker
252000	1	Acinetobacter johnsonii (organism)	Acinetobacter johnsonii
270002	1	Female first cousin (person)	Female first cousin
271003	1	Bone plate, device (physical object)	Bone plate
281004	1	Dementia associated with alcoholism (disorder)	Dementia associated with alcoholism
283001	1	Structure of central axillary lymph node (body structure)	Structure of central axillary lymph node
286009	1	Czech (ethnic group)	Czech
290006	1	Melnick-Fraser syndrome (disorder)	Melnick-Fraser syndrome
297009	1	Acute myringitis (disorder)	Acute myringitis
300004	1	Miniature schnauzer (organism)	Miniature schnauzer
315003	1	Skin structure of umbilicus (body structure)	Skin structure of umbilicus
317006	1	Reactive hypoglycemia (disorder)	Reactive hypoglycemia
330007	1	Occipital headache (finding)	Occipital headache
345000	1	Atrioventricular bundle structure (body structure)	Atrioventricular bundle structure
359007	1	Kernicterus due to isoimmunization (disorder)	Kernicterus due to isoimmunization
368009	1	Heart valve disorder (disorder)	Heart valve disorder
385006	1	Secondary peripheral neuropathy (disorder)	Secondary peripheral neuropathy
400003	1	Pinzgauer cattle breed (organism)	Pinzgauer cattle
409002	1	Food allergy diet (finding)	Food allergy diet
432003	1	Carminic acid stain (substance)	Carminic acid stain
439007	1	Therapeutic radioisotope (product)	Therapeutic radioisotope
461002	1	Structure of lateral corticospinal tract (body structure)	Structure of lateral corticospinal tract
485005	1	Transverse colon structure (body structure)	Transverse colon structure
507002	1	Standard poodle (organism)	Standard poodle
524008	1	Multifocal (qualifier value)	Multifocal
548004	1	13p partial trisomy syndrome (disorder)	13p partial trisomy syndrome
563001	1	Nystagmus (disorder)	Nystagmus
568005	1	Tic disorder (disorder)	Tic disorder
583000	1	Wirehaired vizsla (organism)	Wirehaired vizsla
589001	1	Interventricular septum structure (body structure)	Interventricular septum structure
596004	1	Premenstrual dysphoric disorder (disorder)	Premenstrual dysphoric disorder
606003	1	Terrier (organism)	Terrier
638008	1	Legionella oakridgensis (organism)	Legionella oakridgensis
661005	1	Jaw region structure (body structure)	Jaw region structure
684003	1	Pygmy goat (organism)	Pygmy goat
739006	1	Bicycle ergometer, device (physical object)	Bicycle ergometer
774007	1	Structure of head and/or neck (body structure)	Structure of head and/or neck
787001	1	Rheumatic mitral stenosis with regurgitation (disorder)	Rheumatic mitral stenosis with regurgitation
788006	1	Disease-related diet (finding)	Disease-related diet
792004	1	Jakob-Creutzfeldt disease (disorder)	Creutzfeldt-Jakob disease
795002	1	Deep (qualifier value)	Deep
796001	1	Product containing digoxin (medicinal product)	Digoxin-containing product
805002	1	Pneumoconiosis caused by silica (disorder)	Pneumoconiosis due to silica
811004	1	Flail motion (finding)	Flail motion
813001	1	Ankle instability (finding)	Ankle instability
815008	1	Episcleritis (disorder)	Episcleritis
832007	1	Moderate major depression (disorder)	Moderate major depression
834008	1	Chair-seated facing coital position (finding)	Chair-seated facing coital position
865004	1	Hyperalimentation formula for ileus (finding)	Hyperalimentation formula for ileus
873008	1	Urethan (substance)	Urethan
891003	1	Suicide by self-administered drug (event)	Suicide by self-administered drug
909007	1	Mycobacterium parafortuitum (organism)	Mycobacterium parafortuitum
919001	1	Pseudohomosexual state (finding)	Pseudohomosexual state
925002	1	Sodium iodipamide (substance)	Sodium iodipamide
932006	1	Flat affect (finding)	Flat affect
944009	1	Brown Welsh cattle breed (organism)	Brown Welsh cattle
955009	1	Bronchial structure (body structure)	Bronchial structure
965003	1	Toxic amblyopia (disorder)	Toxic amblyopia
967006	1	Medication education (procedure)	Medication education
976004	1	Structure of ovarian vein (body structure)	Structure of ovarian vein
1006005	1	Percheron horse (organism)	Percheron horse
1023001	1	Apnea (finding)	Apnea
1048003	1	Capillary specimen collection (procedure)	Capillary specimen collection
1055001	1	Stenosis of precerebral artery (disorder)	Stenosis of precerebral artery
1085006	1	Candidiasis of vulva (disorder)	Candidiasis of vulva
1101003	1	Cranial cavity structure (body structure)	Cranial cavity structure
1107004	1	Early latent syphilis, positive serology, negative cerebrospinal fluid, with relapse after treatment (disorder)	Early latent syphilis, positive serology, negative cerebrospinal fluid, with relapse after treatment
1118004	1	Viking horse (organism)	Viking horse
1145003	1	Developmental speech disorder (disorder)	Developmental speech disorder
1166006	1	Titanium (substance)	Titanium
1182007	1	Hypotensive agent (product)	Hypotensive agent
1193009	1	Structure of teres major muscle (body structure)	Structure of teres major muscle
1194003	1	Disease condition determination, well controlled (finding)	Disease condition determination, well controlled
1201005	1	Benign essential hypertension (disorder)	Benign essential hypertension
1202003	1	Mastication (observable entity)	Mastication
1210002	1	Struck by falling lumber (event)	Struck by falling lumber
1211003	1	Treadmill, device (physical object)	Treadmill
1231004	1	Meninges structure (body structure)	Meninges structure
1239002	1	Congenital anteversion of femur (disorder)	Congenital anteversion of femur
1240000	1	Prone body position (finding)	Prone body position
1247002	1	Clydesdale horse (organism)	Clydesdale horse
1250004	1	Decreased (qualifier value)	Decreased
1261007	1	Fracture of multiple ribs (disorder)	Fracture of multiple ribs
1290001	1	Mycoplasma hominis (organism)	Mycoplasma hominis
1305003	1	Double (qualifier value)	Double
1307006	1	Glottis structure (body structure)	Glottis structure
1335005	1	Induratio penis plastica (disorder)	Induratio penis plastica
1340002	1	Malays (ethnic group)	Malays
1346008	1	Blue shade eosin stain (substance)	Blue shade eosin stain
1366004	1	Inhalation therapy procedure (procedure)	Inhalation therapy procedure
1368003	1	Iodine-131 (substance)	Iodine-131
1376001	1	Obsessive compulsive personality disorder (disorder)	Obsessive compulsive personality disorder
1380006	1	Agoraphobia without history of panic disorder with limited symptom attacks (disorder)	Agoraphobia without history of panic disorder with limited symptom attacks
1386000	1	Intracranial hemorrhage (disorder)	Intracranial hemorrhage
1402001	1	Fear (finding)	Fear
1415005	1	Lymphangitis (disorder)	Lymphangitis
1420005	1	German longhaired pointer (organism)	German longhaired pointer
1439000	1	Structure of paravesicular lymph node (body structure)	Structure of paravesicular lymph node
1451003	1	Greeks (ethnic group)	Greeks
1475003	1	Herpes labialis (disorder)	Herpes labialis
1482004	1	Cyst of meibomian gland (disorder)	Chalazion
1483009	1	Angular (qualifier value)	Angular
1489008	1	Hordeolum externum (disorder)	External hordeolum
1507005	1	Mycobacterium kansasii (organism)	Mycobacterium kansasii
1514007	1	Bedlington terrier (organism)	Bedlington terrier
1522000	1	Plaque (morphologic abnormality)	Plaque
1532007	1	Viral pharyngitis (disorder)	Viral pharyngitis
1539003	1	Acquired trigger finger (disorder)	Acquired trigger finger
1542009	1	Omphalocele with obstruction (disorder)	Omphalocele with obstruction
1563006	1	Protein S deficiency disease (disorder)	Protein S deficiency disease
1658003	1	Closed fracture of acromial end of clavicle (disorder)	Closed fracture of acromial end of clavicle
1663004	1	G2 grade (finding)	G2 grade
1679003	1	Arthritis associated with another disorder (disorder)	Arthritis associated with another disorder
1686006	1	Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder (disorder)	Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder
1705000	1	Closed fracture of base of neck of femur (disorder)	Closed fracture of base of neck of femur
1710001	1	Uric acid (substance)	Uric acid
1732005	1	Thoracic duct structure (body structure)	Thoracic duct structure
1742007	1	Female hypererotism (finding)	Female hypererotism
1748006	1	Thrombophlebitis of deep femoral vein (disorder)	Thrombophlebitis of deep femoral vein
1755008	1	Old myocardial infarction (disorder)	Old myocardial infarction
1759002	1	Assessment of nutritional status (procedure)	Assessment of nutritional status
1761006	1	Biliary cirrhosis (disorder)	Biliary cirrhosis
1776003	1	Renal tubular acidosis (disorder)	Renal tubular acidosis
1789009	1	Trakehner horse (organism)	Trakehner horse
1807002	1	Forceps delivery failed (situation)	Forceps delivery failed
1809004	1	Rex cat breed (organism)	Rex cat breed
1816003	1	Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks (disorder)	Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks
1829003	1	Microcephalus (disorder)	Microcephalus
1847009	1	Endophthalmitis (disorder)	Endophthalmitis
1855002	1	Developmental academic disorder (disorder)	Developmental academic disorder
1857005	1	Congenital rubella syndrome (disorder)	Congenital rubella syndrome
1860003	1	Fluid volume disorder (disorder)	Fluid volume disorder
1881003	1	Increased nutritional requirement (finding)	Increased nutritional requirement
1896004	1	Ectopic breast tissue (disorder)	Ectopic breast tissue
1902009	1	Skin structure of ear (body structure)	Skin structure of ear
1910005	1	Entire ear (body structure)	Entire ear
1912002	1	Fall (event)	Fall
1918003	1	Structure of suprarenal aorta (body structure)	Structure of suprarenal aorta
1919006	1	Egyptians (ethnic group)	Egyptians
1929004	1	Non-Hodgkin lymphoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)	Malignant lymphoma, non-Hodgkin
1963002	1	Paroxysmal nocturnal hemoglobinuria (disorder)	Paroxysmal nocturnal hemoglobinuria
1974006	1	Retriever (organism)	Retriever
1985008	1	Vomitus (substance)	Vomitus
1993008	1	Operation of a transportation device, function (observable entity)	Operation of a transportation device
2008008	1	Gallium-67 (substance)	Gallium-67
2032001	1	Cerebral edema (disorder)	Cerebral edema
2043009	1	Alcoholic gastritis (disorder)	Alcoholic gastritis
2048000	1	Lingual tonsil structure (body structure)	Lingual tonsil structure
2055003	1	Recurrent erosion of cornea (disorder)	Recurrent erosion of cornea
2059009	1	Skin structure of ear lobule (body structure)	Skin structure of ear lobule
2062007	1	Dachshund superbreed of dog (organism)	Dachshund
2070002	1	Burning sensation in eye (finding)	Burning sensation in eye
2073000	1	Delusions (finding)	Delusions
2088005	1	Page blue G-90 stain (substance)	Page blue G-90 stain
2089002	1	Osteitis deformans (disorder)	Osteitis deformans
2092003	1	Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)	Malignant melanoma
2095001	1	Nasal sinus structure (body structure)	Nasal sinus structure
2099007	1	Hemangioma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)	Hemangioma
2109003	1	Isolated somatotropin deficiency (disorder)	Isolated somatotropin deficiency
2124007	1	Rambouillet sheep (organism)	Rambouillet sheep
2145000	1	Anal penetration (finding)	Anal penetration
2159007	1	Azorubin S stain (substance)	Azorubin S stain
2160002	1	Structure of ligamentum arteriosum (body structure)	Structure of ligamentum arteriosum
2177002	1	Postherpetic neuralgia (disorder)	Postherpetic neuralgia
2237002	1	Pleuritic pain (finding)	Pleuritic pain
2268003	1	Victim of homosexual aggression (finding)	Victim of homosexual aggression
2272004	1	Half-sister (person)	Half-sister
2282003	1	Prosthetic breast implant (physical object)	Breast implant
2304001	1	Discitis (disorder)	Discitis
2309006	1	Gold (substance)	Gold
2314005	1	Unprotected sexual intercourse (finding)	Unprotected sexual intercourse
2321005	1	Delivery by Ritgen maneuver (procedure)	Delivery by Ritgen maneuver
2334006	1	Structure of calyx (body structure)	Renal calyx
2339001	1	Sexual overexposure (finding)	Sexual overexposure
2400006	1	Structure of permanent mandibular left first premolar tooth (body structure)	Structure of permanent mandibular left first premolar tooth
2403008	1	Psychoactive substance dependence (disorder)	Psychoactive substance dependence
2415007	1	Lumbosacral radiculopathy (disorder)	Lumbosacral radiculopathy
2423009	1	Chikungunya virus (organism)	Chikungunya virus
2424003	1	Sarcoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)	Sarcoma
2435008	1	Ascariasis (disorder)	Ascariasis
2472002	1	Anuria (finding)	Anuria
2477008	1	Superficial thrombophlebitis (disorder)	Superficial thrombophlebitis
2492009	1	Nutritional disorder (disorder)	Nutritional disorder
2506003	1	Early onset dysthymia (disorder)	Early onset dysthymia
2528003	1	Viremia (finding)	Viremia
2556008	1	Periodontal disease (disorder)	Periodontal disease
2576002	1	Trachoma (disorder)	Trachoma
2606006	1	Furuncle of perineum (disorder)	Furuncle of perineum
2615004	1	Follicular cyst of ovary (disorder)	Follicular cyst of ovary
2617007	1	Fall from scaffold (event)	Fall from scaffold
2622007	1	Infected ulcer of skin (disorder)	Infected ulcer of skin
