Variable Name,Variable Type and Length (Bytes),Values,Definition / Comments / Guideline,Example
PatID2,Char (Site specific length),Unique member identifier,Arbitrary person-level identifier. Populated for all records. Used to link across tables. ,1.23457E+14
MS_Test_Name,Char (10),ALP = alkaline phosphatase ,Abbreviated test name. Populated for all records. Several LOINC codes (LOINC) and/or local codes (LOCAL_CD) can point to one MS_Test_Name.,ALP
,,ALT = alanine aminotransferase ,,
,,ANC = absolute neutrophil count,,
,,BILI_TOT = total bilirubin ,,
,,CHOL_HDL = cholesterol high density lipoprotein,,
,,"CHOL_LDL = cholesterol low density 
lipoprotein",,
,,CHOL_TOT = cholesterol total,,
,,CK = creatine kinase total,,
,,CK_MB = creatine kinase MB,,
,,CK_MBI = creatine kinase MB/creatine kinase total ,,
,,CREATININE = creatinine,,
,,D_DIMER = d-dimer,,
,,GLUCOSE = glucose,,
,,HGB = hemoglobin,,
,,HGBA1C = glycosylated hemoglobin,,
,,INF_A = influenza virus A,,
,,INF_AB = influenza virus A + B,,
,,INF_B = influenza virus B,,
,,INF_NS = influenza virus not specified,,
,,INR = international normalized ratio,,
,,LIPASE = lipase,,
,,PG = pregnancy test,,
,,PLATELETS = platelet count,,
,,SODIUM = sodium,,
,,TRIG = triglycerides,,
,,TROP_I = troponin I cardiac,,
,,TROP_T = troponin T cardiac,,
,,TSH = thyroid stimulating hormone,,
,,,,
Variable Name,Variable Type and Length (Bytes),Values,Definition / Comments / Guideline,Example
Result_Type,Char (1),N = numeric,"Indicates whether the laboratory test result is numeric (e.g., 100 ug/mL, <100 ug/mL, >100 ug/mL) and MS_Result_N will be populated, or character (e.g., for character results such as:  +, POS, POSITIVE, and ranges, such as 50-100 mg/mL) and MS_Result_C will be populated, based on Data Partner’s source data.",N
,,C = character,,
MS_Test_Sub_ Category,Char (6),BHCG = beta human choriogonadotropin,"Sub-category for MS_Test_Name. Sub-categories apply to only select laboratory tests. ‘DIRECT’ and ‘CALCULATED’ is only populated for MS_Test_Name = CHOL_LDL. ‘DDU’ and ‘FEU’ is only populated for MS_Test_Name = D_DIMER, Result_Type = N. ‘BHCG’ AND ‘HCG’ is only populated for MS_Test_Name = PG. 


",PCR
,,CLC = calculated,,
,,DDU = d-dimer units,,
,,DIRECT= direct,,
,,EIA = enzyme immunoassay,,
,,FEU = fibrinogen equivalent units,,
,,HCG = human choriogonadotropin,,
,,IF = immunofluorescence,,
,,NS = not specified,,
,,PCR = probe and target amplification,,
,,VTC = organism-specific culture,,
Fast_Ind,Char (1),F= fasting,"Fasting Indicator. Not all laboratory tests are differentiated by fasting status. For laboratory tests where fasting status is not considered to interpret results, Fast_Ind is marked “X” (not applicable). For laboratory test results where fasting status may be considered to interpreting results (e.g., glucose), Fast_Ind is marked “F” (fasting) only if the source data included with the laboratory test result indicates fasting test. All other laboratory test results where fasting status may be considered that is not explicitly marked as fasting, Fast_Ind is marked “R” (random).",F
,,R= random,,
,,X= not applicable  ,,
Specimen_Source,Char (6),"BAL = bronchoalveolar lavage
",Specimen source. Populated for all records. Some laboratory tests have several possible valid values for Specimen_Source. ,SERUM
,,BALBX = bronchoalveolar biopsy ,,
,,BLOOD = blood,,
,,CSF = cerebrospinal fluid,,
,,NPH = nasopharyngeal swab,,
,,NPWASH = nasopharyngeal wash ,,
,,NSWAB = nasal swab or nose specimen,,
,,NWASH = nasal wash ,,
,,OTHER = other,,
,,PLASMA = plasma,,
,,PPP = platelet poor plasma,,
,,SERUM = serum,,
,,SPUTUM = sputum ,,
,,SR_PLS = serum/plasma,,
,,"THRT = throat swab, oropharyngeal swab",,
,,UNK = unknown or null,,
,,URINE = urine,,
,,,,
Variable Name,Variable Type and Length (Bytes),Values,Definition / Comments / Guideline,Example
